Date,Depth,Avg Ground Temp,Air Temp,Surface Temp,Soil Moisture
2001-06-01,-0.01,279.0076,278.7988735632184,,
2001-06-01,0.0,278.6304,278.7988735632184,,
2001-06-01,0.01,278.2532,278.7988735632184,,
2001-06-01,0.02,276.658,278.7988735632184,,
2001-06-01,0.03,277.1275333333333,278.7988735632184,,
2001-06-01,0.034,276.9023999999999,278.7988735632184,,
2001-06-01,0.04,276.5647,278.7988735632184,,
2001-06-01,0.05,276.0018666666666,278.7988735632184,,
2001-06-01,0.07,274.8761999999999,278.7988735632184,,
2001-06-01,0.08,274.3133666666666,278.7988735632184,,
2001-06-01,0.1,273.86395,278.7988735632184,,
2001-06-01,0.104,273.7740666666667,278.7988735632184,,
2001-06-01,0.12,273.4145333333333,278.7988735632184,,
2001-06-01,0.13,273.189825,278.7988735632184,,
2001-06-01,0.14,272.9651166666666,278.7988735632184,,
2001-06-01,0.15,272.7404083333333,278.7988735632184,,
2001-06-01,0.16,272.5157,278.7988735632184,,
2001-06-01,0.18,272.3102428571428,278.7988735632184,,
2001-06-01,0.184,272.2691514285714,278.7988735632184,,
2001-06-01,0.19,272.2075142857142,278.7988735632184,,
2001-06-01,0.2,272.1047857142857,278.7988735632184,,
2001-06-01,0.22,271.8993285714286,278.7988735632184,,
2001-06-01,0.23,271.7966,278.7988735632184,,
2001-06-01,0.254,271.65102,278.7988735632184,,
2001-06-01,0.26,271.614625,278.7988735632184,,
2001-06-01,0.27,271.5539666666667,278.7988735632184,,
2001-06-01,0.28,271.4933083333333,278.7988735632184,,
2001-06-01,0.29,271.43265,278.7988735632184,,
2001-06-01,0.3,271.3719916666666,278.7988735632184,,
2001-06-01,0.31,271.55205,278.7988735632184,,
2001-06-01,0.334,271.1956533333333,278.7988735632184,,
2001-06-01,0.35,271.1185333333333,278.7988735632184,,
2001-06-01,0.36,271.0703333333333,278.7988735632184,,
2001-06-01,0.37,271.0221333333333,278.7988735632184,,
2001-06-01,0.39,270.9257333333333,278.7988735632184,,
2001-06-01,0.41,270.8070380952381,278.7988735632184,,
2001-06-01,0.414,270.783299047619,278.7988735632184,,
2001-06-01,0.42,270.7476904761905,278.7988735632184,,
2001-06-01,0.43,270.6883428571429,278.7988735632184,,
2001-06-01,0.45,270.5696476190476,278.7988735632184,,
2001-06-01,0.46,270.5103,278.7988735632184,,
2001-06-01,0.484,270.378135,278.7988735632184,,
2001-06-01,0.52,270.1798875,278.7988735632184,,
2001-06-01,0.53,270.12481875,278.7988735632184,,
2001-06-01,0.56,269.9596125,278.7988735632184,,
2001-06-01,0.58,269.849475,278.7988735632184,,
2001-06-01,0.59,269.79440625,278.7988735632184,,
2001-06-01,0.61,269.68426875,278.7988735632184,,
2001-06-01,0.62,269.6292,278.7988735632184,,
2001-06-01,0.644,269.5210933333333,278.7988735632184,,
2001-06-01,0.68,269.3589333333333,278.7988735632184,,
2001-06-01,0.72,269.1787555555555,278.7988735632184,,
2001-07-01,-0.01,283.6626370967742,282.3117634408603,,
2001-07-01,0.0,283.5110766129033,282.3117634408603,,
2001-07-01,0.01,283.3595161290323,282.3117634408603,,
2001-07-01,0.02,279.4245161290323,282.3117634408603,,
2001-07-01,0.03,282.2086129032257,282.3117634408603,,
2001-07-01,0.034,281.9784322580645,282.3117634408603,,
2001-07-01,0.04,281.6331612903226,282.3117634408603,,
2001-07-01,0.05,281.0577096774193,282.3117634408603,,
2001-07-01,0.07,279.9068064516129,282.3117634408603,,
2001-07-01,0.08,279.3313548387097,282.3117634408603,,
2001-07-01,0.1,278.6982338709677,282.3117634408603,,
2001-07-01,0.104,278.5716096774194,282.3117634408603,,
2001-07-01,0.12,278.0651129032258,282.3117634408603,,
2001-07-01,0.13,277.7485524193548,282.3117634408603,,
2001-07-01,0.14,277.4319919354839,282.3117634408603,,
2001-07-01,0.15,277.1154314516129,282.3117634408603,,
2001-07-01,0.16,276.7988709677419,282.3117634408603,,
2001-07-01,0.18,276.2929907834101,282.3117634408603,,
2001-07-01,0.184,276.1918147465437,282.3117634408603,,
2001-07-01,0.19,276.0400506912442,282.3117634408603,,
2001-07-01,0.2,275.7871105990783,282.3117634408603,,
2001-07-01,0.22,275.2812304147465,282.3117634408603,,
2001-07-01,0.23,275.0282903225806,282.3117634408603,,
2001-07-01,0.254,274.7249709677419,282.3117634408603,,
2001-07-01,0.26,274.6491411290322,282.3117634408603,,
2001-07-01,0.27,274.5227580645162,282.3117634408603,,
2001-07-01,0.28,274.396375,282.3117634408603,,
2001-07-01,0.29,274.2699919354839,282.3117634408603,,
2001-07-01,0.3,274.1436088709677,282.3117634408603,,
2001-07-01,0.31,275.0478709677419,282.3117634408603,,
2001-07-01,0.334,273.8211612903226,282.3117634408603,,
2001-07-01,0.35,273.6904516129032,282.3117634408603,,
2001-07-01,0.36,273.6087580645161,282.3117634408603,,
2001-07-01,0.37,273.527064516129,282.3117634408603,,
2001-07-01,0.39,273.3636774193548,282.3117634408603,,
2001-07-01,0.41,273.2085437788018,282.3117634408603,,
2001-07-01,0.414,273.1775170506912,282.3117634408603,,
2001-07-01,0.42,273.1309769585254,282.3117634408603,,
2001-07-01,0.43,273.0534101382488,282.3117634408603,,
2001-07-01,0.45,272.8982764976958,282.3117634408603,,
2001-07-01,0.46,272.8207096774193,282.3117634408603,,
2001-07-01,0.484,272.6952129032258,282.3117634408603,,
2001-07-01,0.52,272.5069677419355,282.3117634408603,,
2001-07-01,0.53,272.4546774193548,282.3117634408603,,
2001-07-01,0.56,272.2978064516129,282.3117634408603,,
