70
1	-7.880
2	8.881
3	12.111
4	9.365
5	2.396
6	-11.864
7	-14.595
8	-21.687
9	-27.975
10	-26.908
11	-29.273
12	-11.409
13	-3.352
14	8.976
15	10.755
16	6.210
17	3.781
18	-1.278
19	-9.360
20	-15.336
21	-18.904
22	-22.595
23	-25.470
24	-21.999
25	-13.914
26	6.036
27	10.433
28	6.636
29	0.708
30	-7.028
31	-23.497
32	-21.142
33	-28.225
34	-26.148
35	-26.417
36	-11.507
37	-4.920
38	5.915
39	10.650
40	9.200
41	4.294
42	-2.941
43	-4.672
44	-13.832
45	-12.658
46	-9.763
47	-9.808
48	-7.792
49	1.607
50	-37.231
51	10.363
52	8.727
53	2.316
54	-5.799
55	-22.697
56	-26.984
57	-32.481
58	-25.635
59	-34.943
60	-16.106
61	-5.212
62	6.534
63	11.668
64	9.930
65	3.143
66	-5.001
67	-19.058
68	-27.722
69	-27.641
70	-32.399
